                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2569,                 3.1467,                 1.8706,                0.70293,                0.48418,                0.55894,                0.34081,                 1.3654,                 1.5075,                 1.3741,               0.067351,             0.00032979,             0.00032979
                      2,                 1.2258,                0.97973,                 1.2077,                0.83831,                0.88377,                0.93092,                0.62489,                 1.0546,                0.85402,                 1.1832,                0.03435,             0.00066247,             0.00066247
                      3,                 1.0271,                0.78096,                 1.0952,                0.91051,                0.94543,                 0.9694,                0.69103,                0.96802,                0.78373,                 1.1072,              0.0013472,             0.00099256,             0.00099256
                      4,                0.93455,                0.68945,                 1.0502,                0.92416,                0.93268,                0.96606,                0.71657,                0.82354,                0.63559,                 1.0539,             0.00099123,             0.00099123,             0.00099123
                      5,                0.84509,                0.62551,                 1.0063,                0.94915,                0.95177,                0.98051,                0.74873,                 0.7645,                0.59333,                 1.0278,             0.00098445,             0.00098445,             0.00098445
                      6,                0.79903,                0.58653,                0.98526,                0.93838,                0.96158,                0.97976,                0.73978,                0.76091,                0.54909,                 1.0164,             0.00097577,             0.00097577,             0.00097577
                      7,                0.75189,                0.54216,                0.96682,                0.96595,                 0.9686,                0.98144,                0.77087,                0.72696,                0.58339,                0.99919,             0.00096524,             0.00096524,             0.00096524
                      8,                0.70451,                0.51663,                0.94795,                 0.9641,                0.96637,                0.98205,                0.76634,                0.72312,                0.51975,                0.97532,             0.00095289,             0.00095289,             0.00095289
                      9,                0.69949,                0.50921,                0.93806,                0.97261,                0.96898,                0.98474,                0.80165,                0.64038,                0.46494,                0.96436,             0.00093877,             0.00093877,             0.00093877
                     10,                0.66847,                0.48217,                0.93063,                0.97319,                 0.9709,                0.98238,                0.78675,                0.66313,                0.47172,                0.96442,             0.00092294,             0.00092294,             0.00092294
                     11,                0.65144,                0.46938,                0.92253,                 0.9717,                0.97849,                0.98504,                0.82019,                0.57824,                0.44875,                0.93703,             0.00090546,             0.00090546,             0.00090546
                     12,                0.62742,                0.45102,                0.91576,                0.97684,                0.98083,                0.98715,                 0.8269,                0.57011,                 0.4101,                0.92285,              0.0008864,              0.0008864,              0.0008864
                     13,                0.60217,                  0.434,                0.90685,                0.95867,                0.97862,                 0.9855,                0.81887,                0.58963,                0.43372,                0.92346,             0.00086584,             0.00086584,             0.00086584
                     14,                0.59664,                0.43067,                0.90362,                0.97409,                0.98028,                0.98608,                0.83637,                0.54418,                0.42174,                0.91854,             0.00084385,             0.00084385,             0.00084385
                     15,                0.58516,                0.42284,                0.89917,                0.97878,                 0.9811,                0.98697,                0.85501,                0.50174,                0.38233,                0.90218,             0.00082052,             0.00082052,             0.00082052
                     16,                0.58455,                0.42211,                0.89616,                0.97446,                0.97893,                0.98664,                0.82736,                0.55318,                0.40754,                0.91572,             0.00079595,             0.00079595,             0.00079595
                     17,                 0.5672,                0.41137,                0.89355,                0.98131,                0.98148,                0.98585,                0.80924,                0.58661,                0.42196,                0.92095,             0.00077023,             0.00077023,             0.00077023
                     18,                0.55282,                0.39739,                0.88674,                0.97686,                0.98091,                0.98684,                0.84801,                0.49751,                0.37506,                0.90151,             0.00074347,             0.00074347,             0.00074347
                     19,                 0.5487,                0.39559,                0.88588,                 0.9789,                0.98447,                0.98811,                0.84485,                0.50642,                0.37784,                  0.908,             0.00071576,             0.00071576,             0.00071576
                     20,                0.54728,                0.39439,                0.88325,                0.98397,                0.98582,                0.98724,                0.86164,                0.47336,                0.34546,                0.89093,             0.00068722,             0.00068722,             0.00068722
                     21,                0.53676,                0.38466,                0.88292,                0.97767,                0.98351,                0.98618,                 0.8454,                0.49031,                0.36696,                0.89686,             0.00065796,             0.00065796,             0.00065796
                     22,                0.52091,                  0.375,                0.87637,                0.98736,                0.98686,                0.98906,                0.86194,                0.45231,                0.34716,                0.89861,              0.0006281,              0.0006281,              0.0006281
