epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.612,2.8071,4.23084,2.22446,0.01236,0.39045,0.08232,0.04313,1.99768,3.85065,1.70226,0.00023839,0.00023839,0.00023839
2,252.713,1.77738,2.48661,1.4585,0.46088,0.2449,0.34073,0.17554,1.54945,2.86155,1.50577,0.000474877,0.000474877,0.000474877
3,386.819,1.51243,1.73018,1.30198,0.6702,0.24715,0.54234,0.31995,1.38301,2.85549,1.31987,0.00070162,0.00070162,0.00070162
4,511.573,1.32552,1.43251,1.19784,0.85333,0.57262,0.78858,0.52279,1.32756,2.15041,1.22255,0.000723321,0.000723321,0.000723321
5,639.014,1.21218,1.24989,1.14462,0.88234,0.67169,0.88132,0.63401,1.17195,1.71981,1.13722,0.000708095,0.000708095,0.000708095
6,774.705,1.1502,1.12155,1.09799,0.89355,0.80068,0.92564,0.66989,1.03332,1.31889,1.0972,0.000692869,0.000692869,0.000692869
7,901.203,1.07683,1.00488,1.07047,0.92092,0.89472,0.93008,0.67751,1.06204,1.1449,1.10978,0.000677643,0.000677643,0.000677643
8,1027.29,1.05529,0.95318,1.05429,0.9526,0.9269,0.93892,0.67632,1.0113,0.98967,1.1037,0.000662417,0.000662417,0.000662417
9,1154,1.01607,0.92121,1.04471,0.96286,0.92948,0.94158,0.68871,1.00904,1.06061,1.07022,0.00064719,0.00064719,0.00064719
10,1279.86,0.96466,0.8731,1.01836,0.94665,0.91452,0.93707,0.69198,0.96147,0.95792,1.06951,0.000631964,0.000631964,0.000631964
11,1409.37,0.96217,0.85106,1.02197,0.94379,0.92821,0.93486,0.68707,0.99053,0.97574,1.07059,0.000616738,0.000616738,0.000616738
12,1536.31,0.94086,0.8327,1.00208,0.94031,0.93219,0.93696,0.69434,0.93107,0.895,1.06781,0.000601512,0.000601512,0.000601512
13,1664.18,0.97978,0.84721,1.01368,0.93785,0.92385,0.9394,0.68826,0.98059,0.95281,1.05806,0.000586286,0.000586286,0.000586286
14,1793.75,0.92601,0.77892,0.9887,0.96141,0.93878,0.93835,0.70688,0.90092,0.86181,1.05069,0.000571059,0.000571059,0.000571059
15,1922.95,0.90279,0.78299,0.97932,0.95929,0.93939,0.94482,0.72039,0.88781,0.84542,1.04777,0.000555833,0.000555833,0.000555833
16,2052.2,0.907,0.76812,0.97809,0.9626,0.94264,0.94063,0.72474,0.86879,0.83486,1.03542,0.000540607,0.000540607,0.000540607
17,2180.72,0.89206,0.74268,0.96872,0.95267,0.9379,0.93588,0.70921,0.89653,0.89398,1.02914,0.000525381,0.000525381,0.000525381
18,2310.71,0.87023,0.73994,0.96269,0.96137,0.93629,0.94088,0.70332,0.88831,0.80782,1.03367,0.000510155,0.000510155,0.000510155
19,2439.56,0.8825,0.73186,0.95617,0.96386,0.94424,0.9531,0.71563,0.93821,0.81452,1.03939,0.000494928,0.000494928,0.000494928
20,2568.25,0.88696,0.74821,0.9701,0.96293,0.93843,0.94215,0.72163,0.87231,0.80003,1.03354,0.000479702,0.000479702,0.000479702
21,2697.41,0.87681,0.73308,0.9667,0.96798,0.93502,0.95139,0.7163,0.90847,0.7896,1.0446,0.000464476,0.000464476,0.000464476
