epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.791,1.86936,2.1483,1.71486,0.62085,0.64353,0.65615,0.32843,1.78136,2.41198,1.58083,0.0675593,0.000327684,0.000327684
2,1025.01,1.39373,1.15586,1.33828,0.75165,0.801,0.85237,0.49353,1.45024,1.34015,1.35837,0.0345433,0.000645002,0.000645002
3,1530.71,1.23577,0.95356,1.23326,0.89584,0.87844,0.93987,0.50493,1.5322,1.03928,1.30123,0.00146532,0.000900348,0.000900348
4,2040.72,1.11851,0.83132,1.16539,0.9052,0.91637,0.94781,0.56153,1.29732,0.85994,1.20301,0.000795954,0.000795954,0.000795954
5,2561.58,1.05252,0.74564,1.13354,0.93879,0.96072,0.97264,0.57802,1.36375,0.75197,1.17937,0.000657963,0.000657963,0.000657963
6,3069.02,0.99509,0.68531,1.08776,0.92729,0.95532,0.95557,0.61859,1.12933,0.75074,1.11653,0.000505,0.000505,0.000505
7,3581.6,0.97055,0.65805,1.0736,0.95852,0.97296,0.97969,0.63222,1.19754,0.70061,1.11544,0.000352037,0.000352037,0.000352037
8,4095.15,0.91009,0.6165,1.04971,0.9613,0.97261,0.97322,0.63153,1.08778,0.70662,1.07784,0.000214046,0.000214046,0.000214046
9,4608.64,0.87964,0.5959,1.02927,0.97547,0.98001,0.98438,0.63748,1.10928,0.67946,1.07181,0.000104537,0.000104537,0.000104537
10,5117.58,0.83006,0.56705,1.01948,0.97541,0.98052,0.98486,0.66524,1.0699,0.63331,1.05466,3.4227e-05,3.4227e-05,3.4227e-05
