epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,551.153,2.02965,2.51517,1.77718,0.46301,0.50738,0.51208,0.23309,1.89777,2.0149,1.67675,0.0675789,0.000327485,0.000327485
2,1081.37,1.53906,1.427,1.43606,0.6387,0.57757,0.64642,0.33712,1.64754,1.58725,1.57096,0.0345629,0.000644809,0.000644809
3,1639.23,1.36896,1.11521,1.29651,0.7546,0.6997,0.80194,0.4327,1.57841,1.31853,1.36443,0.00148496,0.000900168,0.000900168
4,2165.79,1.23711,0.93508,1.2124,0.78993,0.7448,0.84723,0.53457,1.23643,1.02677,1.21024,0.000795954,0.000795954,0.000795954
5,2711.01,1.15988,0.84836,1.16596,0.66218,0.72162,0.76457,0.47694,1.31049,1.16808,1.22516,0.000657963,0.000657963,0.000657963
6,3233.87,1.11041,0.79328,1.12742,0.70017,0.78842,0.81188,0.54065,1.12717,0.99839,1.18347,0.000505,0.000505,0.000505
7,3776.46,1.05274,0.72114,1.0915,0.72669,0.81219,0.81981,0.5437,1.12084,0.94531,1.14677,0.000352037,0.000352037,0.000352037
8,4324.44,0.9938,0.66828,1.06992,0.82096,0.8686,0.89874,0.61765,1.02608,0.76938,1.10609,0.000214046,0.000214046,0.000214046
9,4874.58,0.95859,0.63521,1.05053,0.68656,0.78968,0.80787,0.55769,1.05321,1.03356,1.10868,0.000104537,0.000104537,0.000104537
10,5401.45,0.93197,0.62018,1.0388,0.75516,0.8502,0.86989,0.60345,1.03273,0.85706,1.09543,3.4227e-05,3.4227e-05,3.4227e-05
