epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.018,1.81297,2.02614,1.61751,0.8214,0.83304,0.88726,0.58566,1.15489,0.94378,1.24284,0.0671755,0.00033156,0.00033156
2,418.962,1.07634,0.83918,1.16104,0.88392,0.93322,0.96133,0.69013,0.938,0.69847,1.11751,0.0341737,0.000663091,0.000663091
3,623.537,0.91767,0.68326,1.06622,0.95203,0.96953,0.97808,0.74114,0.83659,0.59094,1.04444,0.00116473,0.000987429,0.000987429
4,826.237,0.8232,0.6016,1.01245,0.97793,0.96818,0.98353,0.7586,0.74874,0.54163,1.01088,0.000975773,0.000975773,0.000975773
5,1026.09,0.75192,0.5449,0.97915,0.97363,0.97834,0.98212,0.78125,0.68741,0.49326,0.96176,0.000957205,0.000957205,0.000957205
6,1230.64,0.70322,0.50417,0.95007,0.98261,0.98212,0.98628,0.82548,0.55718,0.44154,0.92524,0.000933683,0.000933683,0.000933683
7,1432.4,0.65576,0.46686,0.93369,0.97593,0.98027,0.9842,0.79018,0.66534,0.4668,0.93927,0.000905463,0.000905463,0.000905463
8,1636.86,0.64157,0.45609,0.92509,0.97997,0.981,0.9832,0.82706,0.56381,0.41796,0.93138,0.000872857,0.000872857,0.000872857
9,1844.33,0.6323,0.44814,0.91738,0.9819,0.9819,0.98324,0.82026,0.5846,0.46141,0.91989,0.00083622,0.00083622,0.00083622
10,2047.48,0.60048,0.4287,0.90712,0.97499,0.9793,0.98647,0.83713,0.5071,0.40571,0.90959,0.000795954,0.000795954,0.000795954
11,2250.63,0.5899,0.41475,0.90081,0.98721,0.986,0.98815,0.85977,0.47417,0.36239,0.89416,0.0007525,0.0007525,0.0007525
12,2456.14,0.55626,0.39476,0.88925,0.98863,0.98613,0.98624,0.86431,0.47643,0.35539,0.89637,0.000706335,0.000706335,0.000706335
13,2660.64,0.54663,0.38806,0.88711,0.98777,0.98678,0.98746,0.8697,0.46992,0.34985,0.89375,0.000657963,0.000657963,0.000657963
14,2865.56,0.5342,0.3753,0.88156,0.98789,0.98242,0.98609,0.87777,0.45717,0.34717,0.88303,0.000607916,0.000607916,0.000607916
15,3070.35,0.52268,0.36777,0.87843,0.9876,0.98654,0.98704,0.8593,0.46119,0.33671,0.88511,0.000556742,0.000556742,0.000556742
16,3275.09,0.51108,0.35955,0.875,0.9876,0.98621,0.9867,0.87083,0.46019,0.34195,0.88175,0.000505,0.000505,0.000505
17,3483.78,0.49929,0.34968,0.86826,0.98269,0.98186,0.98412,0.86588,0.45474,0.33532,0.8819,0.000453258,0.000453258,0.000453258
18,3690.35,0.49734,0.34766,0.86723,0.98781,0.98434,0.98595,0.88035,0.41896,0.31647,0.87661,0.000402084,0.000402084,0.000402084
19,3895.4,0.47926,0.33769,0.86182,0.98807,0.98325,0.98721,0.88082,0.41044,0.30442,0.86589,0.000352037,0.000352037,0.000352037
20,4100.81,0.46365,0.32875,0.85877,0.98455,0.98234,0.98661,0.88415,0.39834,0.30051,0.87139,0.000303665,0.000303665,0.000303665
21,4307.01,0.45422,0.32351,0.85709,0.9807,0.97733,0.98445,0.87141,0.43387,0.30547,0.87879,0.0002575,0.0002575,0.0002575
22,4513.49,0.44699,0.31389,0.85567,0.98751,0.98316,0.98737,0.88859,0.39221,0.29228,0.86439,0.000214046,0.000214046,0.000214046
23,4720.75,0.44132,0.31266,0.85189,0.98769,0.98285,0.98747,0.89646,0.37279,0.28439,0.86171,0.00017378,0.00017378,0.00017378
24,4926.49,0.42934,0.30389,0.8511,0.98606,0.98109,0.98629,0.89856,0.36503,0.28137,0.85802,0.000137143,0.000137143,0.000137143
25,5132.33,0.421,0.29935,0.84801,0.98442,0.98007,0.98627,0.89132,0.37687,0.2885,0.86144,0.000104537,0.000104537,0.000104537
26,5339.32,0.41034,0.29201,0.84555,0.9867,0.98061,0.98612,0.89406,0.36311,0.27689,0.85921,7.63174e-05,7.63174e-05,7.63174e-05
27,5545.38,0.4069,0.28924,0.84655,0.98757,0.98273,0.98736,0.89875,0.35409,0.27331,0.85657,5.2795e-05,5.2795e-05,5.2795e-05
28,5752.33,0.40462,0.28741,0.84558,0.98723,0.98266,0.98774,0.89611,0.361,0.27489,0.85677,3.4227e-05,3.4227e-05,3.4227e-05
29,5959.55,0.398,0.28461,0.84072,0.98715,0.98202,0.98701,0.89721,0.35394,0.27038,0.85489,2.08169e-05,2.08169e-05,2.08169e-05
30,6167.42,0.39879,0.28413,0.84255,0.98699,0.98205,0.98699,0.89868,0.34982,0.26656,0.85428,1.27117e-05,1.27117e-05,1.27117e-05
